,name,date_of_emergence_min,adults_id,well_number,larviposition_id,larviposition_date,larviposition_number,weekend,abortion_stage,abortion,wet_weight,pupa_length,pupa_width,emerged,date_emerged,date_of_death,weekend_death,sex,treatment,weight_emerged,dry_weight,residual_dry_weight,mAgeDays,fat,mAgeBins,pred1,pred2
977,Control,27/07/2018,26,c2,984,05/10/2018,5,0,0,0,32.1,NA,NA,0,NA,NA,0,NA,fat analysis,32.1,11.2,7.6,70,3.6,72,35.64218496,34.01439968
978,Control,27/07/2018,48,d12,985,05/10/2018,5,0,0,0,34.3,NA,NA,1,05/11/2018,14/11/2018,0,f,emergence only,34.3,NA,NA,70,NA,72,35.64218496,36.59003575
979,Control,27/07/2018,40,d4,986,05/10/2018,5,0,0,0,35.4,NA,NA,0,NA,NA,0,NA,fat analysis,35.4,13.6,8.5,70,5.1,72,35.64218496,37.72287306
980,Control,27/07/2018,60,e12,987,05/10/2018,5,0,0,0,30.8,NA,NA,1,05/11/2018,13/11/2018,0,f,emergence only,30.8,NA,NA,70,NA,72,35.64218496,35.17151026
981,Control,27/07/2018,66,f6,988,05/10/2018,5,0,0,0,32.4,6.05,3.51,1,05/11/2018,14/11/2018,0,f,measurment and emergence,32.4,NA,NA,70,NA,72,35.64218496,34.53401809
982,Control,27/07/2018,72,f12,989,05/10/2018,5,0,0,0,43.2,6.3,3.77,1,06/11/2018,16/11/2018,0,m,measurment and emergence,43.2,NA,NA,70,NA,72,35.64218496,39.54110202
983,Control,27/07/2018,94,h10,990,05/10/2018,5,0,0,0,31.9,5.89,3.5,1,06/11/2018,16/11/2018,0,m,measurment and emergence,31.9,NA,NA,70,NA,72,35.64218496,35.65268382
1000,Control,27/07/2018,2,a2,1007,08/10/2018,6,1,0,0,40.5,NA,NA,0,NA,NA,0,NA,fat analysis,40.5,15.5,10,73,5.5,72,35.48028401,38.48542552
1001,Control,27/07/2018,6,a6,1008,07/10/2018,6,1,0,0,34.9,6.04,3.52,1,12/11/2018,16/11/2018,0,m,measurment and emergence,34.9,NA,NA,72,NA,72,35.5422781,33.61512901
1002,Control,27/07/2018,8,a8,1009,08/10/2018,5,1,0,0,33.9,NA,NA,0,NA,NA,0,NA,fat analysis,33.9,12.9,8.2,73,4.7,72,35.48028401,35.23574003
1003,Control,27/07/2018,11,a11,1010,08/10/2018,6,1,0,0,35.9,NA,NA,1,06/11/2018,16/11/2018,0,f,emergence only,35.9,NA,NA,73,NA,72,35.48028401,36.68722312
1004,Control,27/07/2018,12,a12,1011,06/10/2018,6,1,0,0,35.7,NA,NA,0,NA,NA,0,NA,fat analysis,35.7,13.1,8.5,71,4.6,72,35.59624509,36.14921709
1005,Control,27/07/2018,16,b4,1012,08/10/2018,6,1,0,0,38.2,NA,NA,0,NA,NA,0,NA,fat analysis,38.2,14.2,9.2,73,5,72,35.48028401,37.13062746
1006,Control,27/07/2018,27,c3,1013,08/10/2018,6,1,0,0,36.2,NA,NA,0,NA,NA,0,NA,fat analysis,36.2,13.7,8.7,73,5,72,35.48028401,35.37402143
1007,Control,27/07/2018,31,c7,1014,07/10/2018,6,1,0,0,37.2,NA,NA,1,06/11/2018,15/11/2018,0,f,emergence only,37.2,NA,NA,72,NA,72,35.5422781,37.38959674
1008,Control,27/07/2018,43,d7,1015,08/10/2018,6,1,0,0,34.2,5.92,3.71,1,07/11/2018,19/11/2018,1,f,measurment and emergence,34.2,NA,NA,73,NA,72,35.48028401,35.24177235
1009,Control,27/07/2018,46,d10,1016,06/10/2018,6,1,0,0,35.4,5.92,3.69,1,06/11/2018,16/11/2018,0,f,measurment and emergence,35.4,NA,NA,71,NA,72,35.59624509,36.92346717
1010,Control,27/07/2018,53,e5,1017,08/10/2018,6,1,0,0,38.6,NA,NA,0,NA,NA,0,NA,fat analysis,38.6,14.5,9.2,73,5.3,72,35.48028401,38.2334733
1011,Control,27/07/2018,57,e9,1018,06/10/2018,5,1,0,0,36.1,NA,NA,1,07/11/2018,16/11/2018,0,m,emergence only,36.1,NA,NA,71,NA,72,35.59624509,36.14017222
1012,Control,27/07/2018,69,f9,1019,06/10/2018,6,1,0,0,36.5,6.11,3.68,1,05/11/2018,15/11/2018,0,f,measurment and emergence,36.5,NA,NA,71,NA,72,35.59624509,35.88347041
1013,Control,27/07/2018,73,g1,1020,06/10/2018,6,1,0,0,40.7,6.22,3.86,1,06/11/2018,16/11/2018,0,f,measurment and emergence,40.7,NA,NA,71,NA,72,35.59624509,39.43034728
1014,Control,27/07/2018,76,g4,1021,06/10/2018,4,1,0,0,28.7,NA,NA,0,NA,NA,0,NA,fat analysis,28.7,9.6,6.4,71,3.2,72,35.59624509,33.35065427
1015,Control,27/07/2018,84,g12,1022,06/10/2018,5,1,0,0,30.5,5.9,3.61,1,08/11/2018,16/11/2018,0,m,measurment and emergence,30.5,NA,NA,71,NA,72,35.59624509,34.73178609
1016,Control,27/07/2018,85,h1,1023,07/10/2018,6,1,0,0,32.5,NA,NA,0,NA,NA,0,NA,fat analysis,32.5,11.7,7.5,72,4.2,72,35.5422781,34.21348066
1017,Control,27/07/2018,87,h3,1024,06/10/2018,6,1,0,0,33.7,6.07,3.58,1,05/11/2018,15/11/2018,0,f,measurment and emergence,33.7,NA,NA,71,NA,72,35.59624509,34.75231721
1018,Control,27/07/2018,89,h5,1025,07/10/2018,5,1,0,0,36.5,NA,NA,0,NA,NA,0,NA,fat analysis,36.5,13.3,9,72,4.3,72,35.5422781,37.43031394
1019,Control,27/07/2018,90,h6,1026,07/10/2018,6,1,0,0,31.2,NA,NA,0,NA,NA,0,NA,fat analysis,31.2,11,7.3,72,3.7,72,35.5422781,33.98000431
1020,Control,27/07/2018,91,h7,1027,08/10/2018,6,1,0,0,38.8,NA,NA,1,12/11/2018,20/11/2018,0,m,emergence only,38.8,NA,NA,73,NA,72,35.48028401,40.14076177
1022,Control,27/07/2018,36,c12,1029,07/10/2018,6,1,0,0,36.8,6.28,3.74,1,06/11/2018,19/11/2018,1,f,measurment and emergence,36.8,NA,NA,72,NA,72,35.5422781,36.27225842
1057,Control,27/07/2018,7,a7,1064,09/10/2018,4,0,0,0,32.5,NA,NA,1,08/11/2018,19/11/2018,0,f,emergence only,32.5,NA,NA,74,NA,72,35.4102628,32.94435535
1058,Control,27/07/2018,32,c8,1065,09/10/2018,6,0,0,0,41.2,6.3,3.68,1,12/11/2018,19/11/2018,0,m,measurment and emergence,41.2,NA,NA,74,NA,72,35.4102628,39.63731638
1059,Control,27/07/2018,50,e2,1066,09/10/2018,6,0,0,0,33.3,NA,NA,1,08/11/2018,19/11/2018,0,f,emergence only,33.3,NA,NA,74,NA,72,35.4102628,35.5756576
1060,Control,27/07/2018,56,e8,1067,09/10/2018,5,0,0,0,34.6,NA,NA,1,08/11/2018,20/11/2018,0,f,emergence only,34.6,NA,NA,74,NA,72,35.4102628,34.47168788
1061,Control,27/07/2018,62,f2,1068,09/10/2018,5,0,0,0,30.9,5.87,3.39,1,09/11/2018,16/11/2018,0,m,measurment and emergence,30.9,NA,NA,74,NA,72,35.4102628,33.29878583
1062,Control,27/07/2018,63,f3,1069,09/10/2018,6,0,0,0,34.9,NA,NA,0,NA,NA,0,NA,fat analysis,34.9,12.7,8.1,74,4.6,72,35.4102628,34.52836031
1063,Control,27/07/2018,74,g2,1070,09/10/2018,6,0,0,0,35.3,5.98,3.63,1,08/11/2018,19/11/2018,1,f,measurment and emergence,35.3,NA,NA,74,NA,72,35.4102628,35.95850336
1064,Control,27/07/2018,77,g5,1071,09/10/2018,6,0,0,0,33.9,NA,NA,1,06/11/2018,14/11/2018,0,f,emergence only,33.9,NA,NA,74,NA,72,35.4102628,36.43679909
1065,Control,27/07/2018,88,h4,1072,09/10/2018,6,0,0,0,31.1,NA,NA,0,NA,NA,0,NA,fat analysis,31.1,NA,NA,74,NA,72,35.4102628,35.12700718
1081,Control,27/07/2018,5,a5,1088,10/10/2018,5,0,0,0,41.2,6.72,3.86,1,12/11/2018,23/11/2018,0,m,measurment and emergence,41.2,NA,NA,75,NA,72,35.33221448,38.34278399
1082,Control,27/07/2018,30,c6,1089,10/10/2018,6,0,0,0,40.1,NA,NA,1,12/11/2018,21/11/2018,0,m,emergence only,40.1,NA,NA,75,NA,72,35.33221448,37.66884056
1083,Control,27/07/2018,54,e6,1090,10/10/2018,6,0,0,0,37.6,6.27,3.63,1,12/11/2018,21/11/2018,0,m,measurment and emergence,37.6,NA,NA,75,NA,72,35.33221448,35.82315265
1084,Control,27/07/2018,65,f5,1091,10/10/2018,6,0,0,0,38.3,NA,NA,0,NA,NA,0,NA,fat analysis,38.3,12.7,7.9,75,4.8,72,35.33221448,37.61389486
1085,Control,27/07/2018,70,f10,1092,10/10/2018,5,0,0,0,39.7,6.23,3.58,1,09/11/2018,19/11/2018,1,f,measurment and emergence,39.7,NA,NA,75,NA,72,35.33221448,37.34967784
1086,Control,27/07/2018,83,g11,1093,10/10/2018,6,0,0,0,34.5,6.09,3.51,1,08/11/2018,16/11/2018,0,f,measurment and emergence,34.5,NA,NA,75,NA,72,35.33221448,34.48527085
