Date,Tray,check,U_count,A_count,P_count,G_total,Mg_avg
25/06/12,6,-1,0,0,193,5.12,26.53
25/06/12,5,-1,13,0,138,3.69,26.74
25/06/12,4,-1,10,2,140,4.04,28.86
25/06/12,3,-1,9,1,196,5.45,27.81
25/06/12,2,-1,6,5,159,4.24,26.67
25/06/12,1,-1,11,5,141,NA,NA
27/06/12,12,11,NA,NA,NA,NA,NA
27/06/12,11,-1,NA,NA,NA,NA,NA
27/06/12,10,-1,NA,NA,NA,NA,NA
27/06/12,9,-1,NA,NA,64,1.52,23.76
27/06/12,8,-1,4,NA,53,1.41,26.56
27/06/12,7,-1,NA,NA,83,2.19,26.37
27/06/12,6,-1,NA,5,57,1.49,26.22
27/06/12,5,-1,NA,NA,57,1.51,26.51
27/06/12,4,-1,NA,NA,59,1.61,27.23
27/06/12,3,-1,NA,2,39,1.04,26.57
27/06/12,2,-1,NA,3,51,1.37,26.93
27/06/12,1,-1,NA,1,51,1.27,24.85
28/06/12,12,11,NA,NA,NA,NA,NA
28/06/12,11,-1,NA,NA,NA,NA,NA
28/06/12,10,-1,NA,NA,NA,NA,NA
28/06/12,9,-1,0,0,28,0.67,23.98
28/06/12,8,-1,0,0,50,1.24,24.8
28/06/12,7,-1,6,0,128,3.21,25.07
28/06/12,6,-1,0,0,128,3.39,26.48
28/06/12,5,-1,6,1,108,2.79,25.83
28/06/12,4,-1,5,0,117,3.04,25.98
28/06/12,3,-1,9,2,89,2.34,26.92
28/06/12,2,-1,6,4,NA,NA,NA
28/06/12,1,-1,6,4,89,2.36,26.52
02/07/12,12,11,NA,NA,NA,NA,NA
02/07/12,11,-1,0,0,0,NA,NA
02/07/12,10,-1,0,0,1,0,0
02/07/12,9,-1,0,3,118,2.92,24.75
02/07/12,8,-1,0,2,160,4.43,27.68
02/07/12,7,-1,0,6,136,3.74,27.5
02/07/12,6,-1,0,4,151,4.14,27.42
02/07/12,5,-1,0,2,165,4.57,27.7
02/07/12,4,-1,2,3,149,4.12,27.65
02/07/12,3,-1,2,2,112,3.09,27.59
02/07/12,2,-1,4,4,148,4.12,27.84
02/07/12,1,-1,NA,NA,149,NA,29.91
04/07/12,12,11,NA,NA,NA,NA,NA
04/07/12,11,-1,NA,NA,NA,NA,NA
04/07/12,10,-1,NA,0,0,NA,NA
04/07/12,9,-1,NA,1,54,1.23,22.8
04/07/12,8,-1,NA,1,103,2.61,25.4
04/07/12,7,-1,NA,3,70,1.84,26.3
04/07/12,6,-1,NA,0,65,1.72,26.4
04/07/12,5,-1,NA,0,63,1.74,27.8
04/07/12,4,-1,NA,2,71,1.99,28.1
04/07/12,3,-1,NA,1,58,1.63,28.2
04/07/12,2,-1,NA,2,84,2.23,26.6
04/07/12,1,-1,NA,2,34,0.9,26.6
06/07/12,12,11,NA,NA,NA,NA,NA
06/07/12,11,-1,NA,NA,NA,NA,NA
06/07/12,10,-1,0,0,0,NA,NA
06/07/12,9,-1,0,0,4,NA,NA
06/07/12,8,-1,0,1,67,NA,NA
06/07/12,7,-1,2,0,138,3.58,25.94
06/07/12,6,-1,2,0,137,3.59,26.2
06/07/12,5,-1,3,1,106,2.9,27.36
06/07/12,4,-1,1,2,113,3.09,27.35
06/07/12,3,-1,4,3,98,2.81,28.38
06/07/12,2,-1,6,2,108,3.1,28.44
06/07/12,1,-1,3,9,73,NA,NA
09/07/12,12,11,NA,NA,NA,NA,NA
09/07/12,11,-1,NA,NA,NA,NA,NA
09/07/12,10,-1,NA,NA,NA,NA,NA
09/07/12,9,-1,0,2,101,2.66,26.3
09/07/12,8,-1,4,2,140,3.81,27.2
09/07/12,7,-1,4,2,102,2.83,27.7
09/07/12,6,-1,9,4,149,4.07,27.3
09/07/12,5,-1,11,4,164,4.53,27.6
09/07/12,4,-1,5,2,108,3.08,28.6
09/07/12,3,-1,1,5,142,3.98,28
09/07/12,2,-1,1,1,132,3.79,28.5
09/07/12,1,-1,1,11,125,NA,26.5
11/07/12,12,11,NA,NA,NA,NA,NA
11/07/12,11,-1,NA,NA,NA,NA,NA
11/07/12,10,-1,NA,NA,NA,NA,NA
11/07/12,9,-1,2,1,33,0.85,25.64
11/07/12,8,-1,2,2,83,2.18,26.28
11/07/12,7,-1,6,3,94,2.52,26.85
11/07/12,6,-1,8,4,98,2.55,26.06
11/07/12,5,-1,3,4,78,2.06,26.38
11/07/12,4,-1,4,6,97,2.67,27.56
11/07/12,3,-1,6,9,84,2.23,26.56
11/07/12,2,-1,8,5,81,2.18,26.95
11/07/12,1,-1,14,7,75,1.93,25.7
13/07/12,12,11,NA,NA,NA,NA,NA
13/07/12,11,-1,NA,NA,NA,NA,NA
13/07/12,10,-1,NA,NA,3,NA,NA
13/07/12,9,-1,NA,NA,54,NA,NA
13/07/12,8,-1,NA,NA,69,1.66,24.06
13/07/12,7,-1,NA,NA,123,3.13,25.45
13/07/12,6,-1,NA,NA,175,4.6,26.29
13/07/12,5,-1,NA,NA,108,2.85,26.39
13/07/12,4,-1,NA,NA,88,2.37,26.93
13/07/12,3,-1,NA,NA,72,2.34,NA
13/07/12,2,-1,NA,NA,83,2.23,26.87
13/07/12,1,-1,NA,NA,NA,NA,25.79
16/07/12,12,11,NA,NA,NA,NA,NA
16/07/12,11,-1,NA,NA,NA,NA,NA
16/07/12,10,-1,NA,NA,NA,NA,NA
16/07/12,9,-1,0,1,68,1.57,23.09
16/07/12,8,-1,0,2,138,3.39,24.57
16/07/12,7,-1,2,2,122,3.15,25.82
16/07/12,6,-1,NA,NA,127,3.19,25.12
16/07/12,5,-1,3,8,130,3.42,26.31
16/07/12,4,-1,NA,NA,122,3.36,27.54
16/07/12,3,-1,0,2,134,3.57,26.64
16/07/12,2,-1,3,4,144,3.89,26.94
16/07/12,1,-1,2,10,94,2.37,25.21
18/07/12,12,11,NA,NA,NA,NA,NA
